R0,mu,Rb,chi2
Bq,1/sheets,Bq,null
15.6,0.3,0.1,1.133
15.5,0.3,0.1,1.078
15.4,0.3,0.1,1.044
15.3,0.3,0.1,1.033
15.2,0.3,0.1,1.044
15.3,0.31,0.1,2.378
15.3,0.29,0.1,2.378
15.3,0.301,0.1,1.056
15.3,0.299,0.1,1.044
15.3,0.3,0.11,1.044
15.3,0.3,0.09,1.422
15.3,0.3,0.101,1.022
15.3,0.3,0.102,1.011
15.3,0.3,0.103,1
15.3,0.3,0.104,0.997
15.3,0.3,0.105,0.997
15.3,0.3,0.106,1
15.3,0.3,0.105,0.997
16.2,0.3,0.105,2.078
14.3,0.3,0.105,2.144
15.3,0.311,0.105,2.178
15.3,0.292,0.105,2.133
15.3,0.3,0.131,2.144
15.3,0.3,0.082,2.089
